Strategy,Won,Score,Remaining_plays,Target_hand_ratio
Full House,1,676,0,0.5
Full House,1,968,2,0.75
Full House,1,928,2,0.75
Full House,1,719,1,0.5
Full House,1,927,2,0.75
Full House,1,876,0,0.75
Full House,1,1196,1,1.0
Full House,1,1268,2,1.0
Full House,0,411,0,0.25
Full House,1,755,1,0.5
Full House,1,828,1,0.5
Full House,0,456,0,0.25
Full House,1,991,2,0.75
Full House,1,1012,2,0.75
Full House,1,1048,2,0.75
Full House,1,951,2,0.75
Full House,1,1036,2,0.75
Full House,1,740,1,0.5
Full House,1,1436,2,1.0
Full House,1,624,0,0.5
Full House,1,1148,2,1.0
Full House,1,1388,2,1.0
Full House,1,776,1,0.5
Full House,1,1020,2,0.75
Full House,1,1080,2,0.75
Full House,1,792,0,0.75
Full House,1,984,1,0.75
Full House,1,744,0,0.5
Full House,1,1668,2,1.0
Full House,1,1136,1,1.0
Full House,1,888,2,0.75
Full House,1,715,1,0.5
Full House,1,944,1,0.75
Full House,1,720,1,0.5
Full House,1,1292,2,0.75
Full House,0,451,0,0.25
Full House,1,671,1,0.5
Full House,1,1073,2,0.75
Full House,1,675,1,0.5
Full House,0,430,0,0.25
Full House,0,424,0,0.25
Full House,1,644,0,0.5
Full House,0,556,0,0.25
Full House,1,696,0,0.5
Full House,1,1332,3,0.75
Full House,1,1164,2,1.0
Full House,1,1260,2,1.0
Full House,1,691,0,0.5
Full House,1,927,0,0.5
Full House,0,578,0,0.5
Full House,1,648,0,0.5
Full House,1,1032,2,0.75
Full House,0,470,0,0.25
Full House,1,1248,2,1.0
Full House,1,1112,1,1.0
Full House,1,1216,2,1.0
Full House,1,1192,2,1.0
Full House,1,1140,1,1.0
Full House,0,512,0,0.25
Full House,1,1212,1,1.0
Full House,1,972,1,0.75
Full House,0,487,0,0.25
Full House,0,411,0,0.25
Full House,1,992,1,0.5
Full House,1,996,1,0.75
Full House,1,948,1,0.75
Full House,1,739,2,0.5
Full House,1,1164,1,1.0
Full House,1,988,1,0.75
Full House,1,912,1,0.75
Full House,1,652,0,0.5
Full House,1,801,1,0.5
Full House,1,1200,1,1.0
Full House,1,678,0,0.5
Full House,1,1091,2,0.5
Full House,1,1136,2,0.75
Full House,1,683,0,0.5
Full House,1,1088,2,0.75
Full House,1,1972,2,1.0
Full House,1,1032,1,0.75
Full House,1,1432,2,0.75
Full House,1,1064,2,0.75
Full House,1,1184,2,1.0
Full House,1,1035,2,0.75
Full House,1,753,1,0.5
Full House,1,687,0,0.5
Full House,1,695,1,0.5
Full House,1,1327,2,0.75
Full House,1,944,1,0.75
Full House,1,1120,1,1.0
Full House,1,891,1,0.75
Full House,1,1260,2,1.0
Full House,0,579,0,0.5
Full House,1,807,2,0.5
Full House,1,755,1,0.5
Full House,1,1416,3,0.75
Full House,1,963,2,0.75
Full House,0,476,0,0.25
Full House,1,935,1,0.75
Full House,1,1288,2,0.75
Full House,1,1448,2,1.0
Full House,1,928,2,0.75
Full House,1,744,2,0.5
Full House,1,1268,1,0.75
Full House,1,1036,1,0.75
Full House,1,1064,2,0.75
Full House,1,843,2,0.25
Full House,1,916,1,0.75
Full House,1,920,1,0.75
Full House,1,1208,1,1.0
Full House,1,1228,0,0.75
Full House,1,1224,2,1.0
Full House,1,1091,1,0.5
Full House,1,703,0,0.5
Full House,0,591,0,0.5
Full House,1,1176,1,1.0
Full House,1,1324,3,0.75
Full House,1,960,1,0.75
Full House,1,1088,2,0.75
Full House,1,1224,2,1.0
Full House,1,723,2,0.5
Full House,1,1361,3,0.75
Full House,1,693,0,0.5
Full House,1,1049,1,0.75
Full House,1,1096,3,0.5
Full House,1,1096,1,1.0
Full House,1,1140,1,1.0
Full House,1,1184,2,1.0
Full House,1,1092,2,0.75
Full House,1,948,1,0.75
Full House,1,1012,1,0.75
Full House,1,1043,2,0.75
Full House,1,692,0,0.5
Full House,1,964,2,0.75
Full House,1,1212,1,1.0
Full House,0,480,0,0.25
Full House,1,720,1,0.5
Full House,1,668,0,0.5
Full House,1,1048,1,0.75
Full House,1,1192,2,1.0
Full House,1,1552,2,1.0
Full House,1,1240,2,1.0
Full House,1,1232,2,1.0
Full House,1,1008,2,0.75
Full House,1,919,0,0.75
Full House,1,1008,2,0.75
Full House,1,1220,1,1.0
Full House,1,808,2,0.5
Full House,1,1320,2,0.75
Full House,1,992,1,0.75
Full House,1,760,1,0.5
Full House,1,1092,2,0.75
Full House,0,431,0,0.25
Full House,1,1272,2,1.0
Full House,1,972,2,0.75
Full House,1,764,1,0.5
Full House,1,887,2,0.75
Full House,1,1002,0,0.5
Full House,1,924,1,0.75
Full House,1,988,2,0.75
Full House,1,1072,1,1.0
Full House,1,1244,2,1.0
Full House,0,451,0,0.25
Full House,1,855,1,0.75
Full House,1,956,1,0.75
Full House,1,675,0,0.5
Full House,1,968,2,0.75
Full House,1,1280,2,1.0
Full House,1,1160,1,1.0
Full House,1,972,2,0.75
Full House,1,920,0,0.75
Full House,1,1204,1,1.0
Full House,1,1304,1,1.0
Full House,1,1244,2,0.75
Full House,1,1540,3,1.0
Full House,1,988,2,0.75
Full House,1,1184,2,1.0
Full House,1,964,1,0.75
Full House,1,956,1,0.75
Full House,1,1192,2,1.0
Full House,1,972,2,0.75
Full House,1,992,1,0.5
Full House,1,939,2,0.5
Full House,1,847,0,0.75
Full House,1,989,0,0.5
Full House,1,631,0,0.5
Full House,1,1152,1,1.0
Full House,1,755,2,0.5
Full House,1,936,1,0.75
Full House,1,1048,1,1.0
Full House,1,1099,3,0.5
Full House,1,868,2,0.5
Full House,1,920,2,0.75
Full House,1,1236,1,1.0
Full House,1,723,2,0.5
Full House,1,914,2,0.75
Full House,1,764,0,0.5
Full House,1,936,2,0.75
Full House,1,1315,3,0.75
Full House,1,728,1,0.5
Full House,1,1104,3,0.5
Full House,1,899,0,0.75
Full House,1,1460,1,1.0
Full House,1,1168,1,1.0
Full House,1,1904,2,0.75
Full House,1,1332,1,0.75
Full House,1,1140,1,1.0
Full House,1,683,0,0.5
Full House,1,1020,2,0.75
Full House,1,988,2,0.75
Full House,1,1035,2,0.5
Full House,1,1512,3,0.5
Full House,1,1300,2,1.0
Full House,1,1308,1,1.0
Full House,0,432,0,0.25
Full House,1,1452,2,0.75
Full House,0,423,0,0.25
Full House,1,735,1,0.5
Full House,1,986,2,0.75
Full House,1,1068,2,0.75
Full House,1,1388,1,1.0
Full House,1,948,2,0.75
Full House,0,294,0,0.25
Full House,1,808,1,0.75
Full House,1,740,1,0.5
Full House,0,506,0,0.25
Full House,1,1668,2,1.0
Full House,1,767,1,0.5
Full House,0,490,0,0.25
Full House,1,996,1,1.0
Full House,1,736,2,0.5
Full House,1,1432,2,0.75
Full House,1,1035,0,0.5
Full House,1,1068,2,0.75
Full House,1,988,2,0.75
Full House,1,652,0,0.5
Full House,1,1220,2,1.0
Full House,0,528,0,0.25
Full House,1,1543,2,0.75
Full House,1,1056,2,0.75
Full House,1,892,1,0.75
Full House,1,1104,1,1.0
Full House,1,997,2,0.75
Full House,1,706,0,0.5
Full House,1,1572,2,1.0
Full House,1,1444,1,1.0
Full House,1,1212,1,1.0
Full House,1,1256,2,1.0
Full House,1,1035,1,0.75
Full House,1,1300,1,1.0
Full House,1,1236,2,1.0
Full House,1,1072,1,1.0
Full House,1,908,2,0.75
Full House,1,1392,2,0.75
Full House,1,926,0,0.5
Full House,0,423,0,0.25
Full House,1,1452,2,0.75
Full House,1,735,2,0.5
Full House,1,704,2,0.5
Full House,1,1072,2,0.75
Full House,1,744,0,0.5
Full House,1,723,1,0.5
Full House,1,919,1,0.75
Full House,1,1192,1,1.0
Full House,1,932,1,0.75
Full House,1,877,3,0.25
Full House,0,491,0,0.25
Full House,1,1268,2,1.0
Full House,1,759,2,0.5
Full House,1,688,0,0.5
Full House,1,1112,1,1.0
Full House,1,679,0,0.5
Full House,1,816,2,0.5
Full House,1,888,1,0.75
Full House,1,916,2,0.75
Full House,1,1232,2,0.75
Full House,1,1228,2,1.0
Full House,1,1584,2,1.0
Full House,1,1040,2,0.75
Full House,1,796,2,0.5
Full House,1,779,1,0.5
Full House,1,698,0,0.5
Full House,0,166,0,0.0
Full House,1,1296,2,0.75
Full House,1,625,0,0.5
Full House,1,755,2,0.5
Full House,1,1260,2,1.0
Full House,1,1052,1,0.75
Full House,1,615,0,0.5
Full House,1,964,2,0.75
Full House,0,528,0,0.5
Full House,1,884,0,0.75
Full House,1,1452,2,1.0
Full House,1,1116,1,1.0
Full House,1,1020,3,0.5
Full House,1,1092,1,1.0
Full House,1,1012,2,0.75
Full House,1,727,0,0.5
Full House,1,996,1,0.75
Full House,1,930,2,0.75
Full House,0,431,0,0.25
Full House,1,1012,2,0.75
Full House,1,1276,2,1.0
Full House,1,1184,1,1.0
Full House,1,1224,2,1.0
Full House,1,1240,2,0.75
Full House,1,1011,2,0.75
Full House,1,1052,2,0.75
Full House,0,452,0,0.25
Full House,1,1284,1,1.0
Full House,1,1064,2,0.75
Full House,1,1088,2,0.75
Full House,1,899,2,0.75
Full House,1,984,3,0.5
Full House,1,1208,2,1.0
Full House,1,719,2,0.5
Full House,1,698,0,0.5
Full House,1,720,1,0.5
Full House,0,471,0,0.25
Full House,1,1520,2,1.0
Full House,1,1572,2,1.0
Full House,1,1416,2,0.75
Full House,1,1200,2,1.0
Full House,1,1208,2,1.0
Full House,1,1156,1,1.0
Full House,1,771,2,0.5
Full House,1,903,1,0.75
Full House,1,1220,1,1.0
Full House,1,775,2,0.5
Full House,1,1120,2,0.75
Full House,1,640,0,0.25
Full House,1,675,0,0.5
Full House,1,1133,2,0.75
Full House,1,751,0,0.5
Full House,1,1188,1,1.0
Full House,0,569,0,0.25
Full House,0,539,0,0.5
Full House,1,1204,2,1.0
Full House,1,1156,1,1.0
Full House,1,1016,2,0.75
Full House,1,1268,2,1.0
Full House,1,986,1,0.75
Full House,1,1124,2,1.0
Full House,1,763,1,0.5
Full House,1,615,0,0.5
Full House,1,1688,2,0.75
Full House,1,634,0,0.5
Full House,1,1168,1,1.0
Full House,1,1036,1,0.75
Full House,1,948,1,0.75
Full House,1,706,0,0.5
Full House,1,1152,0,0.5
Full House,0,457,0,0.25
Full House,1,1039,1,0.75
Full House,1,1492,2,1.0
Full House,1,908,3,0.25
Full House,1,964,2,0.5
Full House,1,1296,2,1.0
Full House,1,1352,3,0.75
Full House,1,1188,3,0.5
Full House,1,1176,1,1.0
Full House,1,659,1,0.5
Full House,1,704,0,0.5
Full House,1,747,2,0.5
Full House,1,956,0,0.75
Full House,1,944,2,0.75
Full House,1,690,0,0.5
Full House,1,1044,1,0.75
Full House,1,1512,1,1.0
Full House,1,952,1,0.75
Full House,1,955,1,0.75
Full House,1,1067,2,0.5
Full House,1,1048,2,0.75
Full House,1,1120,1,1.0
Full House,1,1184,1,1.0
Full House,1,820,1,0.5
Full House,1,924,1,0.75
Full House,1,956,1,0.75
Full House,1,1156,2,1.0
Full House,1,1072,2,0.75
Full House,1,811,2,0.5
Full House,1,1088,2,0.75
Full House,1,1004,2,0.75
Full House,0,444,0,0.25
Full House,1,1848,3,1.0
Full House,1,896,1,0.75
Full House,1,739,0,0.5
Full House,1,920,2,0.75
Full House,1,996,2,0.75
Full House,0,479,0,0.25
Full House,1,792,2,0.5
Full House,1,1420,1,1.0
Full House,0,467,0,0.25
Full House,1,979,2,0.75
Full House,1,1196,2,1.0
Full House,1,1164,1,1.0
Full House,1,1680,2,1.0
Full House,1,956,2,0.75
Full House,1,1100,1,1.0
Full House,1,832,2,0.5
Full House,1,676,1,0.5
Full House,1,1152,1,1.0
Full House,0,418,0,0.25
Full House,1,1076,2,0.75
Full House,1,763,2,0.5
Full House,1,984,1,0.75
Full House,1,1016,1,0.75
Full House,1,1072,2,0.75
Full House,1,996,2,0.75
Full House,1,816,2,0.5
Full House,1,776,1,0.5
Full House,1,987,2,0.75
Full House,1,671,0,0.5
Full House,1,819,1,0.5
Full House,1,756,1,0.5
Full House,1,1600,1,1.0
Full House,1,1080,2,0.75
Full House,1,988,2,0.75
Full House,1,680,1,0.5
Full House,1,1108,2,1.0
Full House,0,483,0,0.25
Full House,1,688,0,0.5
Full House,0,491,0,0.25
Full House,1,603,0,0.5
Full House,1,738,2,0.5
Full House,1,1620,2,1.0
Full House,1,916,2,0.75
Full House,0,427,0,0.25
Full House,1,1212,1,1.0
Full House,1,916,1,0.75
Full House,1,683,0,0.5
Full House,1,1524,1,1.0
Full House,1,988,2,0.75
Full House,1,1204,2,1.0
Full House,1,674,0,0.5
Full House,1,1084,3,0.5
Full House,1,639,0,0.5
Full House,1,920,0,0.75
Full House,0,307,0,0.25
Full House,1,1164,2,1.0
Full House,1,1316,1,0.75
Full House,1,976,1,0.75
Full House,0,527,0,0.25
Full House,1,1004,2,0.75
Full House,1,932,1,0.75
Full House,1,916,2,0.75
Full House,1,1704,3,0.75
Full House,1,1449,2,0.75
Full House,1,1656,2,1.0
Full House,1,1196,2,1.0
Full House,1,1160,1,0.75
Full House,1,663,1,0.5
Full House,1,955,2,0.75
Full House,1,1892,2,1.0
Full House,1,1248,1,1.0
Full House,1,779,2,0.5
Full House,1,639,0,0.5
Full House,1,1044,2,0.75
Full House,1,1024,1,0.5
Full House,1,1288,2,1.0
Full House,1,720,1,0.5
Full House,1,932,2,0.75
Full House,1,1000,2,0.75
Full House,1,920,1,0.75
Full House,1,1224,1,1.0
Full House,1,1348,3,0.75
Full House,1,704,2,0.5
Full House,1,812,0,0.5
Full House,1,1119,1,0.5
Full House,1,1016,2,0.75
Full House,1,1148,1,1.0
Full House,0,454,0,0.25
Full House,1,1168,2,1.0
Full House,1,663,0,0.5
Full House,1,764,1,0.5
Full House,1,839,0,0.75
Full House,1,971,2,0.75
Full House,1,980,2,0.75
Full House,0,531,0,0.25
Full House,1,1492,2,1.0
Full House,1,1028,2,0.75
Full House,0,480,0,0.25
Full House,1,743,1,0.5
Full House,1,1456,1,1.0
Full House,0,507,0,0.25
Full House,1,1039,2,0.75
Full House,1,756,2,0.5
Full House,1,687,0,0.5
Full House,1,996,1,0.75
Full House,1,763,2,0.5
Full House,0,485,0,0.25
Full House,1,672,0,0.5
Full House,0,599,0,0.5
Full House,1,738,2,0.5
Full House,1,1056,1,0.75
Full House,1,1272,1,0.75
Full House,0,411,0,0.25
Full House,1,1212,2,1.0
Full House,1,787,2,0.5
Full House,1,1240,1,1.0
Full House,1,744,1,0.5
Full House,1,691,0,0.5
Full House,1,1040,1,0.75
Full House,1,664,0,0.5
Full House,1,1312,2,1.0
Full House,1,916,1,0.75
Full House,0,182,0,0.0
Full House,1,1016,2,0.75
Full House,1,652,0,0.5
Full House,1,863,0,0.75
Full House,1,712,1,0.5
Full House,1,1072,2,0.75
Full House,1,963,2,0.75
Full House,1,711,1,0.5
Full House,1,1152,2,1.0
Full House,0,487,0,0.25
Full House,0,514,0,0.25
Full House,1,1020,1,0.75
Full House,1,1036,2,0.75
Full House,0,584,0,0.25
Full House,1,856,1,0.75
Full House,1,1228,2,1.0
Full House,0,467,0,0.25
Full House,1,728,1,0.5
Full House,1,723,2,0.5
Full House,1,920,1,0.75
Full House,1,1136,2,1.0
Full House,0,403,0,0.25
Full House,1,1148,1,1.0
Full House,0,411,0,0.25
Full House,1,1383,2,0.75
Full House,1,936,2,0.75
Full House,1,747,2,0.5
Full House,1,962,1,0.75
Full House,1,1176,2,1.0
Full House,1,1174,2,0.75
Full House,1,1144,2,1.0
Full House,1,976,1,0.75
Full House,0,515,0,0.25
Full House,1,763,1,0.5
Full House,1,956,0,0.75
Full House,1,1076,1,1.0
Full House,1,955,2,0.75
Full House,1,1004,1,0.75
Full House,1,743,2,0.5
Full House,1,996,1,0.75
Full House,1,1272,2,1.0
Full House,1,1104,1,1.0
Full House,1,688,1,0.5
Full House,1,992,2,0.75
Full House,1,972,1,0.75
Full House,1,696,1,0.5
Full House,1,912,1,0.75
Full House,1,1015,1,0.75
Full House,1,1024,2,0.75
Full House,1,1148,1,1.0
Full House,1,655,0,0.5
Full House,0,507,0,0.25
Full House,1,1068,1,1.0
Full House,1,687,1,0.5
Full House,1,1228,2,1.0
Full House,1,844,2,0.5
Full House,1,1220,3,0.5
Full House,1,1188,2,1.0
Full House,1,788,1,0.5
Full House,1,1292,2,1.0
Full House,1,759,2,0.5
Full House,1,1148,1,1.0
Full House,1,952,0,0.75
Full House,1,1220,2,1.0
Full House,0,371,0,0.25
Full House,1,1052,2,0.75
Full House,1,1104,1,1.0
Full House,1,739,0,0.5
Full House,1,783,2,0.5
Full House,1,900,2,0.75
Full House,0,454,0,0.25
Full House,1,1496,2,1.0
Full House,1,1204,1,1.0
Full House,1,980,1,0.75
Full House,1,707,0,0.5
Full House,1,840,0,0.75
Full House,1,1100,2,0.75
Full House,1,1320,2,0.75
Full House,1,1136,1,1.0
Full House,1,639,0,0.5
Full House,1,896,0,0.75
Full House,0,580,0,0.25
Full House,1,920,1,0.75
Full House,1,1055,0,0.5
Full House,1,1176,2,1.0
Full House,1,980,1,0.75
Full House,1,920,1,0.75
Full House,1,892,1,0.75
Full House,0,403,0,0.25
Full House,1,772,1,0.5
